 981860 831312  462.97112   77  308  443.00000  475.15653  7.26%   116 1065s
 987053 835651  459.73889   75  248  443.00000  475.14919  7.26%   116 1071s
 991056 839314  469.82132   57  313  443.00000  475.14353  7.26%   116 1075s
 995302 842954  452.83063   91  223  443.00000  475.13683  7.25%   116 1080s
 999465 846452  471.39048   49  279  443.00000  475.12851  7.25%   116 1085s
 1003774 849992  448.22609  122  268  443.00000  475.12500  7.25%   116 1090s
 1008244 853849  470.69873   61  299  443.00000  475.12222  7.25%   116 1095s
 1012437 857735  459.46536   88  297  443.00000  475.11923  7.25%   116 1100s
 1016432 861140  456.33632  100  249  443.00000  475.11516  7.25%   116 1105s
 1022013 866052  462.33333   73  241  443.00000  475.10938  7.25%   116 1111s
 1026183 869745  456.80791   92  292  443.00000  475.10096  7.25%   116 1116s
 1030749 873618  458.41667   91  257  443.00000  475.09804  7.25%   116 1120s
 1036257 878109  464.97222   67  247  443.00000  475.08892  7.24%   116 1126s
 1040194 881788  456.92045   97  256  443.00000  475.08584  7.24%   116 1131s
 1044626 885386  455.13433   92  231  443.00000  475.08333  7.24%   116 1135s
 1048760 888891  468.36481   61  270  443.00000  475.08044  7.24%   116 1140s
 1053244 892716  466.21479   72  286  443.00000  475.07619  7.24%   116 1145s
 1057612 896243  456.64685   93  296  443.00000  475.07143  7.24%   116 1150s
 1063399 901341  471.76006   51  310  443.00000  475.06452  7.24%   116 1156s
 1067650 904952  465.58214   71  281  443.00000  475.05797  7.24%   116 1160s
 1073111 909267  450.08974   96  151  443.00000  475.05167  7.24%   116 1166s
 1076295 912793  464.42126   71  291  443.00000  475.04922  7.23%   116 1170s
 1080682 916226  459.21970   85  249  443.00000  475.04506  7.23%   116 1175s
 1086119 920890  472.62500   52  290  443.00000  475.04121  7.23%   116 1181s
 1090533 924795  472.68269   48  296  443.00000  475.03674  7.23%   116 1186s
 1092852 927056  457.37698   89  227  443.00000  475.03415  7.23%   116 1190s
 1097669 931067  466.29365   76  305  443.00000  475.02800  7.23%   116 1195s
 1102028 934849  468.87483   54  290  443.00000  475.02222  7.23%   116 1200s
 1106388 938743  462.21514   76  310  443.00000  475.01362  7.23%   116 1205s
 1111075 942398  460.76190   76  272  443.00000  475.00427  7.22%   116 1210s
 1115143 946275  445.31731  112  202  443.00000  475.00000  7.22%   116 1215s
 1119417 949990  458.82458   94  266  443.00000  475.00000  7.22%   116 1220s
 1123815 953632  455.97897   70  226  443.00000  475.00000  7.22%   116 1225s
 1127899 956879  450.23590   77  221  443.00000  475.00000  7.22%   117 1231s
 1132574 961049     cutoff  144       443.00000  475.00000  7.22%   117 1236s
 1137142 965024  444.22237  147  153  443.00000  475.00000  7.22%   117 1241s
 1141224 968691  459.52121   82  266  443.00000  475.00000  7.22%   117 1246s
 1145658 972513  469.21048   62  269  443.00000  475.00000  7.22%   117 1251s
 1150351 976338  471.79549   51  311  443.00000  474.99768  7.22%   117 1256s
 1154492 979774  446.47579   89  259  443.00000  474.99252  7.22%   117 1261s
 1158550 983508  467.88889   60  278  443.00000  474.98611  7.22%   117 1266s
 1163284 986952  467.30526   62  308  443.00000  474.98077  7.22%   117 1271s
 1166161 989623  447.47980  112  207  443.00000  474.97886  7.22%   117 1275s
 1171930 994661  468.06140   66  279  443.00000  474.97222  7.22%   117 1281s
 1175972 998265  454.15641  100  253  443.00000  474.97180  7.22%   117 1286s
 1180406 1001725  460.48159   80  301  443.00000  474.96994  7.22%   117 1291s
 1184297 1005224  473.25158   55  319  443.00000  474.96667  7.22%   117 1296s
 1188822 1008833  459.12500   83  234  443.00000  474.96248  7.22%   117 1300s
 1193174 1012620  453.82632   93  274  443.00000  474.95854  7.21%   117 1306s
 1197878 1016335  462.13265   80  273  443.00000  474.95597  7.21%   117 1311s
 1202196 1019938  474.18092   49  301  443.00000  474.95036  7.21%   117 1315s
 1206406 1023458  444.43122  129  245  443.00000  474.94706  7.21%   117 1320s
 1211173 1027858  459.83750   94  253  443.00000  474.94309  7.21%   117 1325s
 1215299 1031521  464.35390   69  286  443.00000  474.93780  7.21%   117 1330s
 1219801 1035368  472.91927   52  312  443.00000  474.93333  7.21%   117 1335s
 1224499 1039373     cutoff  127       443.00000  474.92857  7.21%   117 1340s
 1228558 1042953  468.45235   57  315  443.00000  474.92412  7.21%   117 1345s
 1233198 1046941  466.88259   58  309  443.00000  474.92165  7.21%   117 1350s
 1237533 1050529  470.36585   56  307  443.00000  474.91790  7.20%   117 1355s
 1242151 1054593  472.25000   50  284  443.00000  474.91667  7.20%   117 1361s
 1246739 1058319  472.26667   55  273  443.00000  474.91468  7.20%   117 1366s
 1251368 1062225  463.58333   76  269  443.00000  474.90863  7.20%   117 1371s
 1255787 1066125  469.96667   53  270  443.00000  474.90402  7.20%   117 1376s
 1259776 1069581  457.25841   85  258  443.00000  474.90000  7.20%   117 1381s
 1264237 1073683  471.84781   47  316  443.00000  474.89807  7.20%   117 1386s
 1268054 1077512  472.30619   49  307  443.00000  474.89444  7.20%   118 1391s
 1271726 1080265  463.60892   72  287  443.00000  474.89224  7.20%   118 1395s
 1276829 1084881  472.84722   50  301  443.00000  474.88983  7.20%   118 1401s
 1281694 1088603  462.58870   61  301  443.00000  474.88573  7.20%   118 1406s
 1286184 1092361  450.89323   92  230  443.00000  474.87877  7.20%   118 1411s
 1290470 1095923  470.36715   64  294  443.00000  474.87528  7.20%   118 1416s
 1294630 1099558  462.63939   68  267  443.00000  474.87500  7.20%   118 1421s
 1297452 1102353  445.16667  129  147  443.00000  474.87500  7.20%   118 1425s
 1303545 1107746  466.30556   64  245  443.00000  474.86777  7.19%   118 1431s
 1306915 1110346  459.34295   87  259  443.00000  474.86667  7.19%   118 1435s
 1311602 1114091  467.76667   64  304  443.00000  474.86040  7.19%   118 1441s
 1316292 1118001  469.75000   56  287  443.00000  474.85714  7.19%   118 1446s
 1320623 1121822  451.66667   95  215  443.00000  474.85294  7.19%   118 1451s
 1325612 1125671  465.66111   63  287  443.00000  474.84899  7.19%   118 1456s
 1329479 1128922  447.86962  117  151  443.00000  474.84615  7.19%   118 1460s
 1333860 1132754  474.18667   51  314  443.00000  474.84375  7.19%   118 1466s
 1338414 1136359  449.16667  111  148  443.00000  474.83838  7.19%   118 1471s
 1342351 1140338  465.50000   64  270  443.00000  474.83333  7.19%   118 1476s
 1347068 1144220  471.75000   46  268  443.00000  474.83333  7.19%   118 1481s
 1351822 1147870  470.57500   49  289  443.00000  474.83333  7.19%   118 1486s
 1355982 1151514  470.34494   58  305  443.00000  474.83333  7.19%   118 1491s
 1359781 1154989  453.04583   96  280  443.00000  474.83233  7.19%   118 1495s
 1363960 1159117  463.61346   80  275  443.00000  474.82792  7.18%   118 1501s
 1368675 1162799  470.58333   49  294  443.00000  474.82574  7.18%   118 1505s
 1373305 1166906  465.00000   71  235  443.00000  474.82190  7.18%   118 1511s
 1376331 1169731  470.82626   56  302  443.00000  474.81839  7.18%   118 1515s
 1381584 1174134  468.09402   58  307  443.00000  474.81401  7.18%   118 1521s
 1386187 1178061  454.01667   85  265  443.00000  474.80992  7.18%   118 1526s
 1390804 1181629  450.12821  107  248  443.00000  474.80556  7.18%   118 1530s
 1394650 1185268  461.98148   63  294  443.00000  474.80323  7.18%   118 1535s
 1399058 1188784  473.35556   46  273  443.00000  474.80000  7.18%   118 1540s
 1403236 1192587  456.09348   77  250  443.00000  474.80000  7.18%   118 1545s
 1407867 1195887  465.03461   80  255  443.00000  474.79429  7.18%   118 1550s
 1411827 1199567  444.80000  130   93  443.00000  474.79167  7.18%   118 1555s
 1416068 1203536  463.10606   83  272  443.00000  474.78841  7.18%   118 1560s
 1420684 1207925  464.92500   64  286  443.00000  474.78457  7.17%   118 1565s
 1425597 1211638  457.75000   99  226  443.00000  474.78094  7.17%   118 1571s
 1430490 1215277  472.14163   49  301  443.00000  474.77715  7.17%   118 1576s
 1434617 1219249  462.50000   69  259  443.00000  474.77453  7.17%   118 1581s
 1439159 1223461  455.85000   86  257  443.00000  474.77108  7.17%   118 1586s
 1443280 1226876  457.70000   83  209  443.00000  474.76667  7.17%   118 1591s
 1447800 1230760  472.84852   49  317  443.00000  474.76222  7.17%   118 1596s
 1450627 1233059  450.04167  109  282  443.00000  474.75917  7.17%   118 1600s
 1454951 1237252  454.58305   90  240  443.00000  474.75631  7.17%   118 1605s
 1460880 1242435  460.50000   76  207  443.00000  474.75000  7.17%   118 1611s
 1465383 1246396  453.29167   99  218  443.00000  474.75000  7.17%   118 1616s
 1468275 1248342  469.41667   57  271  443.00000  474.75000  7.17%   118 1620s
 1472834 1252656  471.11667   59  320  443.00000  474.75000  7.17%   118 1625s
 1477276 1256278  471.37500   49  277  443.00000  474.75000  7.17%   118 1630s
 1481591 1259910  467.20000   54  265  443.00000  474.75000  7.17%   119 1635s
 1485444 1263785  461.08714   74  284  443.00000  474.75000  7.17%   119 1640s
 1490086 1267645  461.22967   72  279  443.00000  474.75000  7.17%   119 1645s
 1494217 1271477  455.10270   89  252  443.00000  474.74900  7.17%   119 1651s
 1499000 1275533  445.44038  109  140  443.00000  474.74795  7.17%   119 1656s
 1502111 1278319  473.57818   43  295  443.00000  474.74453  7.17%   119 1660s
 1506802 1282613  462.58235   76  247  443.00000  474.73981  7.16%   119 1665s
 1511125 1285946  472.55128   55  286  443.00000  474.73661  7.16%   119 1670s
 1515417 1289642  457.74444   83  261  443.00000  474.73333  7.16%   119 1675s
 1520934 1293411  465.55442   76  305  443.00000  474.72963  7.16%   119 1680s
 1524102 1297230  466.83058   61  295  443.00000  474.72727  7.16%   119 1685s
 1528516 1301045  474.00000   43  301  443.00000  474.72336  7.16%   119 1690s
 1532821 1304911  471.70536   55  246  443.00000  474.72222  7.16%   119 1695s
 1537041 1308553  458.60000   80  246  443.00000  474.72183  7.16%   119 1700s
 1541674 1312570  465.47424   65  239  443.00000  474.72000  7.16%   119 1705s
 1546127 1316376  462.63425   71  261  443.00000  474.71849  7.16%   119 1711s
 1550562 1320299  460.11111   79  291  443.00000  474.71635  7.16%   119 1716s
 1554740 1323769  468.16667   61  288  443.00000  474.71366  7.16%   119 1721s
 1559496 1327762  464.55556   72  269  443.00000  474.71053  7.16%   119 1726s
 1562260 1330545  461.50000   78  267  443.00000  474.70969  7.16%   119 1730s
